"index","type","tag","title","author","year","volume","number","journal","pages","editor","booktitle","publisher","address","doi","misc","keywords","url","Link"
"265","incollection","tbep1019","The Tampa Bay Story: Fostering collaborative partnerships to restore an urban estuary","G. Raulerson, E.T. Sherwood, M. Burke, H.S. Greening, A.J. Janicki","2019","NA","NA","NA","NA","NA","NA","Proceedings of the Sixth Interagency Conference on Research in the Watersheds, July 23-26, 2018","Shepherdstown, West Virginia","NA","#10-19","pollutant loading, nitrogen, seagrass, status and trends, water quality","http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_10-19_NMC_Partnerships.pdf","<a href=""http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_10-19_NMC_Partnerships.pdf"">View Document</a>"
"264","techreport","tbep1119","2018 Tampa Bay Estuary Nutrient Management Compliance Assessment","E.T. Sherwood, M. Burke","2019","NA","#11-19","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","pollutant loading, nitrogen, program guidance, regulations, assessment","http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_11-19_TBNMC_2018_RA_Annual_Assessment.pdf","<a href=""http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_11-19_TBNMC_2018_RA_Annual_Assessment.pdf"">View Document</a>"
"263","techreport","tbep1219","2018 Multimetric Index of Nekton Health for Tampa Bay, FL","M.N. Schrandt, T.C. MacDonald","2019","NA","#12-19","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","assessment, monitoring, fish and wildlife, status and trends, water quality","http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_12-19_2018_Nekton_Index.pdf","<a href=""http://www.tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_12-19_2018_Nekton_Index.pdf"">View Document</a>"
"262","techreport","tbep1319","Southwest Florida Tidal Creeks: Nutrient Management Framework and Indicator Development. Final Report to the Sarasota Bay Estuary Program","Janicki Environmental, Inc., Mote Marine Laboratory","2019","NA","#13-19","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","bay habitats, water quality, assessment, nitrogen, tributary","https://tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_13_19_2019_Tidal_Creeks_Final_Report.pdf","<a href=""https://tbeptech.org/TBEP_TECH_PUBS/2019/TBEP_13_19_2019_Tidal_Creeks_Final_Report.pdf"">View Document</a>"
"261","techreport","tbep0118","2017 Tampa Bay Water Quality Assessment","E. Sherwood, G. Raulerson","2018","NA","#01-18","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","status and trends, water quality, chlorophyll, light attenuation, seagrass","https://tbeptech.org/TBEP_TECH_PUBS/2018/TBEP_01_18_2017_Decision_Matrix_Results_Update.pdf","<a href=""https://tbeptech.org/TBEP_TECH_PUBS/2018/TBEP_01_18_2017_Decision_Matrix_Results_Update.pdf"">View Document</a>"
"260","techreport","tbep0218","Tampa Bay Dredge Hole Project: Fisheries Assessment, Final Report","M.N. Schrandt, T.C. MacDonald","2018","NA","#02-18","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","bay habitats, dredging, fish and wildlife, benthos, TBERF","https://tbeptech.org/TBEP_TECH_PUBS/2018/TBEP_02_18_Dredge_Hole_Fisheries.pdf","<a href=""https://tbeptech.org/TBEP_TECH_PUBS/2018/TBEP_02_18_Dredge_Hole_Fisheries.pdf"">View Document</a>"
"259","techreport","tbep0318","Tampa Bay Dredge Hole Project: Benthic Assessment, Final Report","D. Karlen, B. Goetting, T. Dix, S. Markham, K. Campbell, J. Jernigan, J. Christian, A. Chacour, K. Martinez, L. Grossmann, and L. LaMonica","2018","NA","#03-18","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","bay habitats, dredging, fish and wildlife, benthos, TBERF","https://tbeptech.org/TBEP_TECH_PUBS/2018/TBEP_03_18_Dredge_Hole_Benthic.pdf","<a href=""https://tbeptech.org/TBEP_TECH_PUBS/2018/TBEP_03_18_Dredge_Hole_Benthic.pdf"">View Document</a>"
"258","techreport","tbep0418","Tampa Bay Nekton Index, Final Report","M.N. Schrandt, T.C. MacDonald","2018","NA","#04-18","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","assessment, monitoring, fish and wildlife, status and trends, water quality","https://tbeptech.org/TBEP_TECH_PUBS/2018/TBEP_04_18_Nekton_Index.pdf","<a href=""https://tbeptech.org/TBEP_TECH_PUBS/2018/TBEP_04_18_Nekton_Index.pdf"">View Document</a>"
"257","techreport","tbep0518","2017 Tampa Bay Estuary Nutrient Management Compliance Assessment","E. Sherwood, M. Burke","2018","NA","#05-18","NA","NA","NA","NA","Prepared for the FDEP and EPA by the Tampa Bay Nitrogen Management Consortium, Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","pollutant loading, nitrogen, program guidance, regulations, assessment","http://www.tbeptech.org/TBEP_TECH_PUBS/2018/TBEP_05_18_FINAL_TBNMC_2017_RA_Annual_Assessment_05092018.pdf","<a href=""http://www.tbeptech.org/TBEP_TECH_PUBS/2018/TBEP_05_18_FINAL_TBNMC_2017_RA_Annual_Assessment_05092018.pdf"">View Document</a>"
"256","incollection","tbep0618","Chapter 26 - Tampa Bay Estuary Case Study: Identifying Blue Carbon Incentives for Future Critical Coastal Habitat Restoration and Management Efforts","E.T. Sherwood, H. Greening, G. Raulerson, L. Sheehan, S. Crooks, R.P. Moyer, K.R. Radabaugh, S. Simpson, S. Emmett-Mattox, D. Tomasko, D. Robison, K. Yates","2019","NA","NA","NA","NA","L. Windham-Myers and S. Crooks and T. Troxler","A Blue Carbon Primer: The State of Coastal Wetland Carbon Science, Practice, and Policy","CRC Press","Boca Raton, Florida","NA","#06-18","climate change, bay habitats, restoration","https://www.crcpress.com/A-Blue-Carbon-Primer-The-State-of-Coastal-Wetland-Carbon-Science-Practice/Windham-Myers-Crooks-Troxler/p/book/9781498769099","<a href=""https://www.crcpress.com/A-Blue-Carbon-Primer-The-State-of-Coastal-Wetland-Carbon-Science-Practice/Windham-Myers-Crooks-Troxler/p/book/9781498769099"">View Document</a>"
"255","article","tbep0718","Widespread recovery of seagrass coverage in Southwest Florida (USA): Temporal and spatial trends and management actions responsible for success","D. Tomasko, M. Alderson, R. Burnes, J. Hecker, J. Leverone, G. Raulerson, E. Sherwood","2018","135","NA","Marine Pollution Bulletin","1128-1137","NA","NA","Marine Pollution Bulletin","NA","10.1016/j.marpolbul.2018.08.049","#07-18","bay habitats, nitrogen, seagrass, status and trends, water quality","https://doi.org/10.1016/j.marpolbul.2018.08.049","<a href=""https://doi.org/10.1016/j.marpolbul.2018.08.049"">View Document</a>"
"254","techreport","tbep0818","Microplastics in Tampa Bay: Abundance, Distribution, and Ecological Interactions and Technical Memorandum: Laboratory Methods for the Analysis of Microplastics","S. Sorace, S. Felde, D. Carroll, J. Necker, D. Hastings, S. Gowans, Amy Suida","2019","NA","#08-18","NA","NA","NA","NA","Final report prepared for the Tampa Bay Environmental Restoration Fund","St. Petersburg, Florida","NA","NA","water quality, fish and wildlife, monitoring, wastewater, TBERF","http://www.tbeptech.org/TBEP_TECH_PUBS/2018/TBEP_08_18_TBERF_Microplastics_Suida.pdf","<a href=""http://www.tbeptech.org/TBEP_TECH_PUBS/2018/TBEP_08_18_TBERF_Microplastics_Suida.pdf"">View Document</a>"
"253","techreport","tbep0918","Little Manatee River Ecosystem Restoration Master Plan","Southwest Florida Water Management District","2019","NA","#09-18","NA","NA","NA","NA","Final report prepared for the Tampa Bay Environmental Restoration Fund by the Southwest Florida Water Management District","Brooksville, Florida","NA","NA","bay habitats, program guidance, restoration, spatial analysis, TBERF","http://www.tbeptech.org/TBEP_TECH_PUBS/2018/TBEP_09_18_TBERF_Little_Manatee_River_SWFWMD.pdf","<a href=""http://www.tbeptech.org/TBEP_TECH_PUBS/2018/TBEP_09_18_TBERF_Little_Manatee_River_SWFWMD.pdf"">View Document</a>"
"252","techreport","tbep0117","2016 Tampa Bay Water Quality Assessment","E. Sherwood","2017","NA","#01-17","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","status and trends, water quality, chlorophyll, light attenuation, seagrass","https://tbeptech.org/TBEP_TECH_PUBS/2017/TBEP_01_17_2016_Decision_Matrix_Results_Update.pdf","<a href=""https://tbeptech.org/TBEP_TECH_PUBS/2017/TBEP_01_17_2016_Decision_Matrix_Results_Update.pdf"">View Document</a>"
"251","techreport","tbep0217","2016 Tampa Bay Estuary Nutrient Management Compliance Assessment","H. Greening, E. Sherwood","2017","NA","#02-17","NA","NA","NA","NA","Prepared for the FDEP and EPA by the Tampa Bay Nitrogen Management Consortium, Tampa Bay Estuary Program","NA","NA","NA","pollutant loading, nitrogen, program guidance, regulations, assessment","https://tbeptech.org/TBEP_TECH_PUBS/2017/TBEP_02_17_FINAL_TBNMC_2016_RA_Annual_Assessment_03242017.pdf","<a href=""https://tbeptech.org/TBEP_TECH_PUBS/2017/TBEP_02_17_FINAL_TBNMC_2016_RA_Annual_Assessment_03242017.pdf"">View Document</a>"
"250","techreport","tbep0317","Tampa Bay Environmental Restoration Fund Final Report: Hard Bottom Mapping and Characterization for Restoration Planning in Tampa Bay","K. Kaufman","2017","NA","#03-17","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","bay habitats, benthos, spatial analysis, restoration, TBERF","https://tbeptech.org/TBEP_TECH_PUBS/2017/TBEP_03_17_Hard_Bottom.pdf","<a href=""https://tbeptech.org/TBEP_TECH_PUBS/2017/TBEP_03_17_Hard_Bottom.pdf"">View Document</a>"
"249","techreport","tbep0417","Estimates of Total Nitrogen, Total Phosphorus, Total Suspended Solids, and Biological Oxygen Demand Loadings to Tampa Bay, Florida: 2012-2016","Janicki Environmental, Inc.","2017","NA","#04-17","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","water quality, pollutant loading, modelling, nitrogen","https://tbeptech.org/TBEP_TECH_PUBS/2017/TBEP_04_17_FINAL_TBNMC_Loads_2012-2016.pdf","<a href=""https://tbeptech.org/TBEP_TECH_PUBS/2017/TBEP_04_17_FINAL_TBNMC_Loads_2012-2016.pdf"">View Document</a>"
"248","techreport","tbep0517","Phase 2: Critical Coastal Habitat Assessment Final Report","R. Moyer, K. Radabaugh","2017","NA","#05-17","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","bay habitats, climate change, sea level rise, monitoring, restoration","https://tbeptech.org/TBEP_TECH_PUBS/2017/TBEP_05_17_CCHA_Phase_2_baseline_report.pdf","<a href=""https://tbeptech.org/TBEP_TECH_PUBS/2017/TBEP_05_17_CCHA_Phase_2_baseline_report.pdf"">View Document</a>"
"247","techreport","tbep0617","Critical Coastal Habitat Assessment Training Manual","K. Radabaugh, R. Moyer, G. Raulerson, E. Sherwood","2017","NA","#06-17","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","bay habitats, climate change, sea level rise, monitoring, restoration","https://tbeptech.org/TBEP_TECH_PUBS/2017/TBEP_06_17_CCHA_Training_Manual.pdf","<a href=""https://tbeptech.org/TBEP_TECH_PUBS/2017/TBEP_06_17_CCHA_Training_Manual.pdf"">View Document</a>"
"246","techreport","tbep0717","Seeding Potential of Pyrodinium Cysts in Old Tampa Bay","C. Lopez","2017","NA","#07-17","NA","NA","NA","NA","Final report prepared for the Tampa Bay Environmental Restoration Fund","St. Petersburg, Florida","NA","NA","bay habitats, water quality, TBERF","https://tbeptech.org/TBEP_TECH_PUBS/2017/TBEP_07_17_Lopez_SeedingPotentialofPyrodinium_Phase3andFinalReport_4230.pdf","<a href=""https://tbeptech.org/TBEP_TECH_PUBS/2017/TBEP_07_17_Lopez_SeedingPotentialofPyrodinium_Phase3andFinalReport_4230.pdf"">View Document</a>"
"245","techreport","tbep0817","Phase 1: Critical Coastal Habitat Assessment: Baseline Monitoring Report","R. Price, D. Loy, D. Robison","2017","NA","#08-17","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","bay habitats, climate change, sea level rise, monitoring, restoration","https://tbeptech.org/TBEP_TECH_PUBS/2017/TBEP_08_17_CCHA_Phase1_Baseline_Report_Price_et_al.pdf","<a href=""https://tbeptech.org/TBEP_TECH_PUBS/2017/TBEP_08_17_CCHA_Phase1_Baseline_Report_Price_et_al.pdf"">View Document</a>"
"244","article","tbep0917","Tampa Bay (Florida, USA): Documenting Seagrass Recovery since the 1980's and Reviewing the Benefits","E. Sherwood, H. Greening, J.O.R. Johansson, K. Kaufman, G. Raulerson","2017","57","3","Southeastern Geographer","294-319","NA","NA","Southeastern Geographer","NA","10.1353/sgo.2017.0026","#09-17","bay habitats, nitrogen, seagrass, status and trends","https://doi.org/10.1353/sgo.2017.0026","<a href=""https://doi.org/10.1353/sgo.2017.0026"">View Document</a>"
"243","techreport","tbep1017","Charting the Course: The Comprehensive Conservation and Management Plan for Tampa Bay","N. O'Hara, Shafer Consulting, Inc.","2017","NA","#10-17","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","program guidance","https://indd.adobe.com/view/cf7b3c48-d2b2-4713-921c-c2a0d4466632","<a href=""https://indd.adobe.com/view/cf7b3c48-d2b2-4713-921c-c2a0d4466632"">View Document</a>"
"242","techreport","tbep1117","Channels A, G, and Rocky Creek Second Post-Modification Monitoring Project Report","S. Deitche, B. Meinecke, A. Hipolito","2017","NA","#11-17","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","bay habitats, restoration, monitoring, wastewater, water quality","https://tbeptech.org/TBEP_TECH_PUBS/2017/TBEP_11_17_Final_GPI_2nd_Post-Mod_ChA_G_102617.pdf","<a href=""https://tbeptech.org/TBEP_TECH_PUBS/2017/TBEP_11_17_Final_GPI_2nd_Post-Mod_ChA_G_102617.pdf"">View Document</a>"
"241","techreport","tbep0116","2015 Tampa Bay Water Quality Assessment","E. Sherwood","2016","NA","#01-16","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","status and trends, water quality, chlorophyll, light attenuation, seagrass","https://tbeptech.org/TBEP_TECH_PUBS/2016/TBEP_01_16_2015_Decision_Matrix_Results_Update.pdf","<a href=""https://tbeptech.org/TBEP_TECH_PUBS/2016/TBEP_01_16_2015_Decision_Matrix_Results_Update.pdf"">View Document</a>"
"240","techreport","tbep0216","Southwest Florida Tidal Creeks Nutrient Study","M. Wessel, K. Dixon","2016","NA","#02-16","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","bay habitats, water quality, assessment, nitrogen, tributary","https://tbeptech.org/TBEP_TECH_PUBS/2016/TBEP_02_16_SW_FL_Tidal_Creeks_Final_Draft_Report_160121.pdf","<a href=""https://tbeptech.org/TBEP_TECH_PUBS/2016/TBEP_02_16_SW_FL_Tidal_Creeks_Final_Draft_Report_160121.pdf"">View Document</a>"
"239","techreport","tbep0316","Update on the Development of a Screening Level Tool for Estimating Annual Hydrologic Loadings to Tampa Bay","Janicki Environmental, Inc.","2016","NA","#03-16","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","pollutant loading, modelling, nitrogen, water quality","https://tbeptech.org/TBEP_TECH_PUBS/2016/TBEP_03_16_TBNMC_Tech_Memo_Update_LTB_Hyd_Tool.pdf","<a href=""https://tbeptech.org/TBEP_TECH_PUBS/2016/TBEP_03_16_TBNMC_Tech_Memo_Update_LTB_Hyd_Tool.pdf"">View Document</a>"
"238","techreport","tbep0416","2015 Tampa Bay Estuary Nutrient Management Compliance Assessment","H. Greening, E. Sherwood","2016","NA","#04-16","NA","NA","NA","NA","Prepared for the FDEP and EPA by the Tampa Bay Nitrogen Management Consortium, Tampa Bay Estuary Program","NA","NA","NA","pollutant loading, nitrogen, program guidance, regulations, assessment","https://tbeptech.org/TBEP_TECH_PUBS/2016/TBEP_04_16_FINAL_TBNMC_2015_RA_Annual_Assessment_03312016.pdf","<a href=""https://tbeptech.org/TBEP_TECH_PUBS/2016/TBEP_04_16_FINAL_TBNMC_2015_RA_Annual_Assessment_03312016.pdf"">View Document</a>"
"237","techreport","tbep0516","Channels A, G, and Rocky Creek Pilot Monitoring Project Report","S. Deitche","2016","NA","#05-16","NA","NA","NA","NA","Prepared for the SWFWMD and TBEP by GPI, Inc","Tampa, Florida","NA","NA","bay habitats, restoration, monitoring, wastewater, water quality","https://tbeptech.org/TBEP_TECH_PUBS/2016/TBEP_05_16_Final_Report_ChA_G_042016.pdf","<a href=""https://tbeptech.org/TBEP_TECH_PUBS/2016/TBEP_05_16_Final_Report_ChA_G_042016.pdf"">View Document</a>"
"236","techreport","tbep0616","Robles Park Water Quality Improvement","S. Powers","2016","NA","#06-16","NA","NA","NA","NA","Final report prepared for the Tampa Bay Environmental Restoration Fund","St. Petersburg, Florida","NA","NA","pollutant loading, water quality, restoration, stormwater, TBERF","https://tbeptech.org/TBEP_TECH_PUBS/2016/TBEP_06_16_TBEF_2013_Robles_Park_Final_Report_W235_04-20-16.pdf","<a href=""https://tbeptech.org/TBEP_TECH_PUBS/2016/TBEP_06_16_TBEF_2013_Robles_Park_Final_Report_W235_04-20-16.pdf"">View Document</a>"
"235","techreport","tbep0716","Tampa Bay Blue Carbon Assessment: Summary of Findings","L. Sheehan, S. Crooks, Various other contributors","2016","NA","#07-16","NA","NA","NA","NA","Final report prepared for the Tampa Bay Environmental Restoration Fund","St. Petersburg, Florida","NA","NA","climate change, bay habitats, modelling, sea level rise, TBERF","https://tbeptech.org/TBEP_TECH_PUBS/2016/TBEP_07_16_Tampa-Bay-Blue-Carbon-Assessment-Report-FINAL_June16-2016.pdf","<a href=""https://tbeptech.org/TBEP_TECH_PUBS/2016/TBEP_07_16_Tampa-Bay-Blue-Carbon-Assessment-Report-FINAL_June16-2016.pdf"">View Document</a>"
"234","techreport","tbep0816","Seagrass Transect Monitoring in Tampa Bay: A Summary of Findings from 1997 through 2015","R. Johansson","2016","NA","#08-16","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","seagrass, status and trends, bay habitats, monitoring","https://tbeptech.org/TBEP_TECH_PUBS/2016/TBEP_08_16_2016_Seagrass_Transect_Summary_Report.pdf","<a href=""https://tbeptech.org/TBEP_TECH_PUBS/2016/TBEP_08_16_2016_Seagrass_Transect_Summary_Report.pdf"">View Document</a>"
"233","incollection","tbep0916","Seagrass Recovery in Tampa Bay, Florida (USA)","H. Greening, A. Janicki, E. Sherwood","2016","NA","NA","NA","1-12","C. Max Finlayson and G. R. Milton and R. C. Prentice and N. C. Davidson","The Wetland Book","Springer","Berlin, Germany","10.1007/978-94-007-6173-5_269-1","#09-16","bay habitats, nitrogen, seagrass, status and trends, wastewater","https://doi.org/10.1007/978-94-007-6173-5_269-1","<a href=""https://doi.org/10.1007/978-94-007-6173-5_269-1"">View Document</a>"
"232","techreport","tbep0115","2014 Tampa Bay Water Quality Assessment","E. Sherwood","2015","NA","#01-15","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","status and trends, water quality, chlorophyll, light attenuation, seagrass","https://tbeptech.org/TBEP_TECH_PUBS/2015/TBEP_01_15_2014_Decision_Matrix_Results.pdf","<a href=""https://tbeptech.org/TBEP_TECH_PUBS/2015/TBEP_01_15_2014_Decision_Matrix_Results.pdf"">View Document</a>"
"231","techreport","tbep0215","Tampa Bay Residential Stormwater Evaluation: Final Project Report","C. Listopad, L. Souto, P. Bohlen","2015","NA","#02-15","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","education, stormwater, nitrogen, water quality","https://tbeptech.org/TBEP_TECH_PUBS/2015/TBEP_02_15_TB_Residential_Stormwater_Evaluation_FinalReport+DataAppendices_March2015.pdf","<a href=""https://tbeptech.org/TBEP_TECH_PUBS/2015/TBEP_02_15_TB_Residential_Stormwater_Evaluation_FinalReport+DataAppendices_March2015.pdf"">View Document</a>"
"230","techreport","tbep0315","Zooplankton and Hyperbenthos as Community Metrics for the Trophic State of Tidal Creeks","E. Peebles","2015","NA","#03-15","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","bay habitats, water quality, assessment, fish and wildlife, benthos","https://tbeptech.org/TBEP_TECH_PUBS/2015/TBEP_03_15_Report_USF_Zoopl&HyperbIndicators_Final.pdf","<a href=""https://tbeptech.org/TBEP_TECH_PUBS/2015/TBEP_03_15_Report_USF_Zoopl&HyperbIndicators_Final.pdf"">View Document</a>"
"229","techreport","tbep0415","Twenty-year Trends in the Benthic Community and Sediment Quality of Tampa Bay 1993 - 2012","D. Karlen, T. L. Dix, B. K. Goetting, S. E. Markham, K. W. Campbell, J. M. Jernigan","2015","NA","#04-15","NA","NA","NA","NA","Environmental Protection Commission of Hillsborough County, Tampa Bay Estuary Program","Tampa, Florida","NA","NA","benthos, status and trends, assessment, monitoring, contaminants","https://tbeptech.org/TBEP_TECH_PUBS/2015/TBEP_04_15_Tampa_Bay_Benthic_Interpretive_Report_1993-2012_FINAL.pdf","<a href=""https://tbeptech.org/TBEP_TECH_PUBS/2015/TBEP_04_15_Tampa_Bay_Benthic_Interpretive_Report_1993-2012_FINAL.pdf"">View Document</a>"
"228","article","tbep0515","Tampa Bay estuary: Monitoring long-term recovery through regional partnerships","E. Sherwood, H. Greening, T. Janicki, D. Karlen","2015","4","NA","Region Studies in Marine Science","1-11","NA","NA","Region Studies in Marine Science","NA","10.1016/j.rsma.2015.05.005","#05-15","monitoring, assessment, status and trends, chlorophyll, seagrass","https://tbeptech.org/TBEP_TECH_PUBS/2015/TBEP_05_15_TBEP_Monitoring_long-term_recovery_through_regional_partnerships.pdf","<a href=""https://tbeptech.org/TBEP_TECH_PUBS/2015/TBEP_05_15_TBEP_Monitoring_long-term_recovery_through_regional_partnerships.pdf"">View Document</a>"
